course_name,job_recs,product_urls
Valuation for Startups Using Multiple Approach,"Chief Financial Officers (CFOs),Financial Analysts,Entrepreneurs,Consultants,Accountants",https://www.coursera.org/learn/valuation-multiples
Business Metrics for Data Driven Companies,"Business Analysts,Process Analysts,Data Analysts,Marketing Analysts,Operations Analysts",https://www.coursera.org/learn/analytics-business-metrics
Razonamiento artificial,"Machine Learning Engineers,Engineers,Data Engineers,Data Scientists,Chief Executive Officers (CEOs)",https://www.coursera.org/learn/razonamiento-artificial
Paleontology Ancient Marine Reptiles,"Biologists,Customer Service Agents,Scientists,Customer Care Reps,Teachers",https://www.coursera.org/learn/ancient-marine-reptiles
Project Practicum with Multiple Projects,"Project Managers,Business Analysts,Engineers,Software Engineers",https://www.coursera.org/learn/project-practicum-with-multiple-projects
Финансовые рынки и институты Financial Markets and Institutions,"Economists,Traders,Auditors,Lawyers,Financial Analysts",https://www.coursera.org/learn/finansovye-rynki
Знакомство с R и базовая статистика,"Scientists,Economists,Data Analysts,Marketing Specialists,Data Scientists",https://www.coursera.org/learn/znakomstvo-r-bazovaya-statistika
Genomic Data Science Capstone,"Researchers,Software Engineers",https://www.coursera.org/learn/genomic-data-science-project
What future for education,"Teachers,Principals,Professors,Editors,Therapists",https://www.coursera.org/learn/future-education
Antibiotic Stewardship,"Pharmacists,Medical Doctors,Dentists,Paramedics,Nurses",https://www.coursera.org/learn/antibiotic-stewardship
Créer et développer une startup technologique,"Chief Technology Officers (CTOs),Financial Advisors,Chief Executive Officers (CEOs),Data Engineers,Entrepreneurs",https://www.coursera.org/learn/startup-technologique
Big Data Tools,"Data Engineers,Machine Learning Engineers,Data Scientists,Financial Analysts,Data Analysts",https://www.coursera.org/learn/big-data-tools
Genome Assembly Programming Challenge,"Biologists,Data Scientists,Machine Learning Engineers,Software Engineers,Data Engineers",https://www.coursera.org/learn/assembling-genomes
Auditing II The Practice of Auditing,"Auditors,Accountants,Financial Analysts,Business Analysts,Technical Support Associates",https://www.coursera.org/learn/auditing-part2-the-practice
Cómo entrenar a tus electrones 1 Fundamentos de la electrónica analógica,"Engineers,Teachers",https://www.coursera.org/learn/fundamentos-de-la-electronica-analogica
Социология медиа,"Public Relations Specialists,Project Managers,Data Scientists,Teachers",https://www.coursera.org/learn/sociologiya-media
Disease Clusters,"Researchers,Lawyers,Professors,Data Scientists,Data Analysts",https://www.coursera.org/learn/disease-clusters
Chemicals and Health,"Nutritionists,Pharmacists,Scientists,Biologists,Artists",https://www.coursera.org/learn/chemicals-health
Маркетинг Часть 2 Инструментарий маркетинга,"Public Relations Specialists,Marketing Specialists,Marketers,Project Managers,Chief Executive Officers (CEOs)",https://www.coursera.org/learn/marketing-instrumentarij
Genomics Decoding the Universal Language of Life,"Biologists,Scientists,Researchers,Medical Doctors,Editors",https://www.coursera.org/learn/genomics-research
Ferrous Technology I,"Technical Solutions Engineers,Machine Learning Engineers,Researchers,Product Managers,Engineers",https://www.coursera.org/learn/ferrous-technology-1
Paesaggi di Roma Antica Archeologia e storia del Palatino,,https://www.coursera.org/learn/paesaggi-roma-antica
Excel Skills for Business Intermediate II,"Financial Analysts,Economists,Auditors,Accountants,Operations Analysts",https://www.coursera.org/learn/excel-intermediate-2
Generative Design for Additive Manufacturing,Professors,https://www.coursera.org/learn/generative-design-additive-manufacturing
商管研究中的賽局分析 二 資訊經濟學 Game Theoretic Analysis for Business Research 2,"Data Engineers,Product Managers,Data Scientists,Business Analysts,Data Analysts",https://www.coursera.org/learn/infoecon
